ID	Concept	Doculect	Value	Tokens
77	fat, oil	d304homa1919	Pa-tamut	p a t a m u t
78	fingernail	d304homa1919	Ka-n-zagali	k a n z a g a l i
79	fire	d304homa1919	Tsa-wguʂ	t s a w g u ʂ
80	fire-wood	d304homa1919	Suki-ti.; Wm-onha	s u k i t i
81	fish	d304homa1919	Ba-ʂ	b a ʂ
82	five	d304homa1919	I-bɯmotɯ	i b ɯ m o t ɯ
83	four	d304homa1919	I-kwangani	i k w a n g a n i
84	give	d304homa1919	pam	p a m
85	goat	d304homa1919	Meme	m e m e
86	ground, soil	d304homa1919	Tandu-k	t a n d u k
87	hair	d304homa1919	Sa-morɯ	s a m o r ɯ
88	head	d304homa1919	M-orɯ	m o r ɯ
89	heart	d304homa1919	Bu-kali	b u k a l i
90	horn	d304homa1919	Pangu-m	p a n g u m
91	house	d304homa1919	N-dap	n d a p
92	hunger	d304homa1919	Jale	j a l e
93	iron	d304homa1919	M-bali	m b a l i
94	kill	d304homa1919	tumis	t u m i s
95	knee	d304homa1919	E-dibe.	e d i b e
96	knife	d304homa1919	M-baku	m b a k u
97	know	d304homa1919	-bis'	b i s
98	leg	d304homa1919	Goru-k	g o r u k
99	man	d304homa1919	Mu-tu	m u t u
100	moon	d304homa1919	Timba	t i m b a
101	mouth	d304homa1919	M-bɯkɯ	m b ɯ k ɯ
102	name	d304homa1919	L-ina	l i n a
103	navel	d304homa1919	Kuvu	k u v u
104	neck	d304homa1919	Cungu-k	c u n g u k
105	night	d304homa1919	Rupu-k	r u p u k
106	nose	d304homa1919	Yo	j o
107	one	d304homa1919	-mɯtɯ	m ɯ t ɯ
108	rain	d304homa1919	Dɯ-bari	d ɯ b a r i
109	road	d304homa1919	Pens	p e n s
110	salt	d304homa1919	Mɯ-kɯ	m ɯ k ɯ
111	see	d304homa1919	wena	w e n a
112	shame	d304homa1919	Sɯnyi	s ɯ n j i
113	skin	d304homa1919	Bu-raku-k	b u r a k u k
114	sky	d304homa1919	Ny-angot	n j a n g o t
115	sleep	d304homa1919	U-lala-ba	u l a l a b a
116	smoke	d304homa1919	Kuli	k u l i
117	snake	d304homa1919	N-gamu	n g a m u
118	spear	d304homa1919	Kungwa-li	k u n g w a l i
119	steal	d304homa1919	baku	b a k u
120	stone	d304homa1919	Ma-buk	m a b u k
121	sun	d304homa1919	M-ani-k	m a n i k
122	tail	d304homa1919	Kus	k u s
123	three	d304homa1919	I-sarɯ	i s a r ɯ
124	tongue	d304homa1919	Dada-k	d a d a k
125	tooth	d304homa1919	Nunnur	n u n n u r
126	tree	d304homa1919	Basu	b a s u
127	two	d304homa1919	I-bari	i b a r i
128	urine	d304homa1919	M-ene	m e n e
129	village	d304homa1919	Ngi	n g i
130	war	d304homa1919	W-kandɯ	w k a n d ɯ
131	water	d304homa1919	dɯ-bare	d ɯ b a r e
132	wind	d304homa1919	Mu-mbɯ	m u m b ɯ
133	woman	d304homa1919	Karri	k a r r i
134	animal	d305nyangali	ɲàmà	ɲ a m a
135	ashes	d305nyangali	mɔtɛ́	m ɔ t ɛ
136	bed	d305nyangali	ŋkɩ̀ŋgɔ̀	ŋ k ɪ ŋ g ɔ
137	belly	d305nyangali	bʊ̀-rà	b ʊ r a
138	big	d305nyangali	-kíri	k i r i
139	bite	d305nyangali	-bʊ́rɛ	b ʊ r ɛ
140	blood	d305nyangali	ncámá	n c a m a
141	bone	d305nyangali	mʊkúa	m ʊ k u a
142	breast	d305nyangali	ibɛ́rɛ	i b ɛ r ɛ
143	child	d305nyangali	mwǎna	m w a n a
144	come	d305nyangali	-kúrúka	k u r u k a
145	count	d305nyangali	-ànsa	a n s a
146	dew	d305nyangali	màmɛ̀	m a m ɛ
147	die	d305nyangali	-kúsa	k u s a
148	drink	d305nyangali	-ɔ̀mɔ	ɔ m ɔ
149	eat	d305nyangali	-rá	r a
150	egg	d305nyangali	ɩɩ́	ɪ ɪ
151	elephant	d305nyangali	nsùù	n s u u
152	fall	d305nyangali	-hʊ́ka	h ʊ k a
153	fat, oil	d305nyangali	makúta	m a k u t a
154	feather	d305nyangali	c-ɔsá	c ɔ s a
155	fingernail	d305nyangali	c-ǎra	c a r a
156	fire-wood	d305nyangali	ʊkúni	ʊ k u n i
157	fish	d305nyangali	ncwɩ̀	n c w ɪ
158	fly	d305nyangali	-ɔ̀ka	ɔ k a
159	four	d305nyangali	-ɲɛ̀	ɲ ɛ
160	give	d305nyangali	-níŋka	n i ŋ k a
161	goat	d305nyangali	mʊ̀ràŋgɔ̀	m ʊ r a ŋ g ɔ
162	ground, soil	d305nyangali	kwànsí	k w a n s i
163	head	d305nyangali	mʊntwɛ́	m ʊ n t w ɛ
164	horn	d305nyangali	ihɛ́mbɛ́	i h ɛ m b ɛ
165	house	d305nyangali	numbá	n u m b a
166	hunger	d305nyangali	rwǎka	r w a k a
167	knife	d305nyangali	mwɛrɛ́; ʊbasí	m w ɛ r ɛ
168	know	d305nyangali	-siba	s i b a
169	liver	d305nyangali	ìnì	i n i
170	man	d305nyangali	wábʊ̌mɛ	w a b ʊ m ɛ
171	moon	d305nyangali	mwɛ̌ri	m w ɛ r i
172	name	d305nyangali	rɩ̌na	r i n a
173	neck	d305nyangali	ɩ̀kɔ̀tì	ɪ k ɔ t i
174	night	d305nyangali	mutú	m u t u
175	nose	d305nyangali	mɛ̌mbɛ́	m ɛ m b ɛ
176	one	d305nyangali	-má	m a
177	person	d305nyangali	mwɛ̀à	m w ɛ a
178	rain	d305nyangali	mbúra	m b u r a
179	road	d305nyangali	mwɛŋgɛ́rɛ́	m w ɛ ŋ g ɛ r ɛ
180	salt	d305nyangali	mʊ̀kwà	m ʊ k w a
181	see	d305nyangali	-kàɛ	k a ɛ
182	shame	d305nyangali	ŋkɛ̀nɛ̀	ŋ k ɛ n ɛ
183	skin	d305nyangali	-kɛ̀sa	k ɛ s a
184	sleep	d305nyangali	tɔrɔ́	t ɔ r ɔ
185	smoke	d305nyangali	mwɩ̌ki	m w i k i
186	stone	d305nyangali	ɩkɔí	ɪ k ɔ i
187	sun	d305nyangali	mwɩ̌ʃɩ́	m w i ʃ ɪ
188	tail	d305nyangali	mʊkɩ́ra	m ʊ k ɪ r a
189	ten	d305nyangali	ɩkúmi	ɪ k u m i
190	tongue	d305nyangali	rwǎmi	r w a m i
191	tooth	d305nyangali	rɩ̌nɔ	r i n ɔ
192	two	d305nyangali	-bɩ́	b ɪ
193	urine	d305nyangali	màʃʊ̀	m a ʃ ʊ
194	village	d305nyangali	ʊbʊ́ŋgʊ́	ʊ b ʊ ŋ g ʊ
195	war	d305nyangali	bitá	b i t a
196	water	d305nyangali	mɛ̀cà	m ɛ c a
197	woman	d305nyangali	mʊmɩ́na	m ʊ m ɪ n a
198	animal	d308bodo2	nama	n a m a
199	arm	d308bodo2	kɔ́ndɔ́	k ɔ n d ɔ
200	ashes	d308bodo2	-súpú	s u p u
201	bark	d308bodo2	ɛpapi	ɛ p a p i
202	belly	d308bodo2	mbowa (-a)	m b o w a
203	big	d308bodo2	uza	u z a
204	bird	d308bodo2	munoyi	m u n o j i
205	bite	d308bodo2	kuketa	k u k e t a
206	blood	d308bodo2	menike	m e n i k e
207	bone	d308bodo2	uho	u h o
208	breast	d308bodo2	mabee	m a b e e
209	burn	d308bodo2	síóka	s i o k a
210	cloud	d308bodo2	-kóbá	k o b a
211	die	d308bodo2	-wo	w o
212	dog	d308bodo2	emvá	e m v a
213	drink	d308bodo2	kumwa	k u m w a
214	ear	d308bodo2	-cwéí	c w e i
215	eat	d308bodo2	kuninya	k u n i n j a
216	egg	d308bodo2	-kií	k i i
217	eye	d308bodo2	-só	s o
218	fat, oil	d308bodo2	mɛnɛ́	m ɛ n ɛ
219	feather	d308bodo2	-atá	a t a
220	fingernail	d308bodo2	ndaa	n d a a
221	fire	d308bodo2	njaa	n j a a
222	fish	d308bodo2	sipe	s i p e
223	fly	d308bodo2	-bumbúa	b u m b u a
224	give	d308bodo2	-injo	i n j o
225	ground, soil	d308bodo2	etaka	e t a k a
226	hair	d308bodo2	ndii	n d i i
227	head	d308bodo2	mu-tu	m u t u
228	hear	d308bodo2	-oka	o k a
229	heart	d308bodo2	motema	m o t e m a
230	horn	d308bodo2	-pakáá	p a k a a
231	knee	d308bodo2	uú, maú -ú	u u
232	know	d308bodo2	-embéa	e m b e a
233	leaf	d308bodo2	-ané	a n e
234	leg	d308bodo2	mutendi	m u t e n d i
235	liver	d308bodo2	-ngí	n g i
236	louse	d308bodo2	-sɔ́kɔ́ɔ	s ɔ k ɔ ɔ
237	man	d308bodo2	gue	g u e
238	moon	d308bodo2	uyi	u j i
239	mouth	d308bodo2	-nu	n u
240	name	d308bodo2	ino	i n o
241	neck	d308bodo2	emeyo	e m e j o
242	night	d308bodo2	butu	b u t u
243	nose	d308bodo2	maɔ	m a ɔ
244	one	d308bodo2	mo-ngana	m o n g a n a
245	person	d308bodo2	to	t o
246	rain	d308bodo2	-gbaá	g b a a
247	road	d308bodo2	ɛgbaa	ɛ g b a a
248	root	d308bodo2	-yo	j o
249	sand	d308bodo2	masasayi	m a s a s a j i
250	see	d308bodo2	-ena	e n a
251	skin	d308bodo2	-mba	m b a
252	sleep	d308bodo2	-tɔɔ́	t ɔ ɔ
253	smoke	d308bodo2	umweu	u m w e u
254	stone	d308bodo2	ikopi	i k o p i
255	sun	d308bodo2	ɛpa	ɛ p a
256	tail	d308bodo2	-yǎ	j a
257	tongue	d308bodo2	olala	o l a l a
258	tooth	d308bodo2	m-enu	m e n u
259	tree	d308bodo2	ɓoté	ɓ o t e
260	two	d308bodo2	mbe-pini	m b e p i n i
261	walk	d308bodo2	kukenda	k u k e n d a
262	water	d308bodo2	mepo	m e p o
263	woman	d308bodo2	m-oyi	m o j i
264	animal	d308ebodo	ɲàmà	ɲ a m a
265	arm	d308ebodo	ɩkɔ́ndɔ́	ɪ k ɔ n d ɔ
266	ashes	d308ebodo	-súpú	s u p u
267	bark	d308ebodo	ɛpapi	ɛ p a p i
268	bed	d308ebodo	bʊkwá(l)á	b ʊ k w a l a
269	belly	d308ebodo	mbowa	m b o w a
270	big	d308ebodo	-ja	j a
271	bird	d308ebodo	múnoi	m u n o i
272	bite	d308ebodo	-kɛ̀ta	k ɛ t a
273	blood	d308ebodo	meníke	m e n i k e
274	bone	d308ebodo	uhó	u h o
275	breast	d308ebodo	mabee	m a b e e
276	burn	d308ebodo	kuni-ya	k u n i j a
277	child	d308ebodo	mwaná	m w a n a
278	cloud	d308ebodo	-kóbá	k o b a
279	come	d308ebodo	kuni-ka	k u n i k a
280	die	d308ebodo	ingbio	i n g b i o
281	dog	d308ebodo	ɓɛ́mva	ɓ ɛ m v a
282	drink	d308ebodo	kumwa	k u m w a
283	ear	d308ebodo	uʧwéí	u tʃ w e i
284	eat	d308ebodo	kuninya	k u n i n j a
285	egg	d308ebodo	-kií	k i i
286	elephant	d308ebodo	toku	t o k u
287	eye	d308ebodo	mʊ́kanɩ́ wɔ isó	m ʊ k a n ɪ + w ɔ + i s o
288	face	d308ebodo	mʊ́kanɩ́ wɔ isó	m ʊ k a n ɪ + w ɔ + i s o
289	fat, oil	d308ebodo	mɛnɛ́	m ɛ n ɛ
290	feather	d308ebodo	yatá	j a t a
291	fingernail	d308ebodo	ʊndáá	ʊ n d a a
292	fire	d308ebodo	ɗyàlá	ɗ j a l a
293	fish	d308ebodo	musipé	m u s i p e
294	fly	d308ebodo	-bumbua	b u m b u a
295	give	d308ebodo	-injo	i n j o
296	goat	d308ebodo	yagboŋgúo	j a g b o ŋ g u o
297	ground, soil	d308ebodo	etaka	e t a k a
298	hair	d308ebodo	undíí	u n d i i
299	head	d308ebodo	mutu	m u t u
300	hear	d308ebodo	-oka	o k a
301	heart	d308ebodo	mʊtɩmá	m ʊ t ɪ m a
302	horn	d308ebodo	ɩpákáá	ɪ p a k a a
303	house	d308ebodo	ɩkáa	ɪ k a a
304	intestine	d308ebodo	ɓʊ̀à	ɓ ʊ a
305	kill	d308ebodo	kuniwa	k u n i w a
306	knee	d308ebodo	u(w)ú	u w u
307	knife	d308ebodo	ifagó	i f a g o
308	know	d308ebodo	-embea	e m b e a
309	leaf	d308ebodo	wágbʊndʊ́	w a g b ʊ n d ʊ
310	leg	d308ebodo	mùtìndì	m u t i n d i
311	liver	d308ebodo	-ngí	n g i
312	louse	d308ebodo	agbʊ̌kʊ	a g b ʊ k ʊ
313	man	d308ebodo	gùè	g u e
314	moon	d308ebodo	uyí	u j i
315	mouth	d308ebodo	mònù	m o n u
316	name	d308ebodo	ino	i n o
317	neck	d308ebodo	-mio	m i o
318	night	d308ebodo	naɓutú	n a ɓ u t u
319	nose	d308ebodo	mɔɔ́	m ɔ ɔ
320	one	d308ebodo	-́ŋga	+ ŋ g a
321	person	d308ebodo	mombí	m o m b i
322	rain	d308ebodo	ogbaa	o g b a a
323	road	d308ebodo	mʊgyɛ́ndɔ	m ʊ g j ɛ n d ɔ
324	root	d308ebodo	miyii	m i j i i
325	salt	d308ebodo	mùkwè	m u k w e
326	sand	d308ebodo	sásáɩ́	s a s a ɪ
327	see	d308ebodo	-ena	e n a
328	send	d308ebodo	-sèso	s e s o
329	skin	d308ebodo	ɩ̀ŋgɔ̀ɓɔ̀	ɪ ŋ g ɔ ɓ ɔ
330	sleep	d308ebodo	tɔɔ́	t ɔ ɔ
331	smoke	d308ebodo	mweí	m w e i
332	snake	d308ebodo	sɩ̀ɩ́  / ɓa-  / apɛ́kɛ́ɓɛ́  / ɓa- /sp.)  / akpɔ́ŋgɔ́ɓɔ́  / ɓa-  /sp.)  / cúlu  / ɓa- /sp.)	s ɪ ɪ
333	stone	d308ebodo	ɩbǎtʊ	ɪ b a t ʊ
334	sun	d308ebodo	ɛpa	ɛ p a
335	tail	d308ebodo	mʊ́ya	m ʊ j a
336	three	d308ebodo	-́tʊ́	+ t ʊ
337	tongue	d308ebodo	ʊdádá	ʊ d a d a
338	tooth	d308ebodo	yenú	j e n u
339	tree	d308ebodo	mukaka	m u k a k a
340	two	d308ebodo	-pɩ́(n)ɩ	p ɪ n ɪ
341	urine	d308ebodo	matɩ́ɩ	m a t ɪ ɪ
342	village	d308ebodo	ɩ̀kʊ̀mbʊ̀	ɪ k ʊ m b ʊ
343	vomit	d308ebodo	íwéyo	i w e j o
344	walk	d308ebodo	kukenda	k u k e n d a
345	water	d308ebodo	mèpò	m e p o
346	wind	d308ebodo	ihúhu	i h u h u
347	woman	d308ebodo	moí	m o i
348	animal	a11londo	n-yàmà	n j a m a
349	arm	a11londo	mò-kɔ̀	m o k ɔ
350	ashes	a11londo	ù-bu	u b u
351	bark	a11londo	ekuku	e k u k u
352	bed	a11londo	dì-nɔ̀ŋgɔ̀	d i n ɔ ŋ g ɔ
353	belly	a11londo	m-ɛa	m ɛ a
354	big	a11londo	kɔlɔ	k ɔ l ɔ
355	bird	a11londo	ì-nɔɔ	i n ɔ ɔ
356	bite	a11londo	da	d a
357	blood	a11londo	mà-cìá	m a c i a
358	bone	a11londo	è-sé	e s e
359	breast	a11londo	dì-bɛ́ɛ̀	d i b ɛ ɛ
360	burn	a11londo	aŋgɛ	a ŋ g ɛ
361	child	a11londo	ŋw-ánà	ŋ w a n a
362	cloud	a11londo	motutu	m o t u t u
363	come	a11londo	ɸɔ	ɸ ɔ
364	count	a11londo	laŋga	l a ŋ g a
365	dew	a11londo	bè-kɛdi	b e k ɛ d i
366	die	a11londo	wa	w a
367	dog	a11londo	m-fáà	m f a a
368	drink	a11londo	ŋwa	ŋ w a
369	ear	a11londo	dì-tóò	d i t o o
370	eat	a11londo	dì-dá	d i d a
371	egg	a11londo	mò-cyé	m o c j e
372	elephant	a11londo	n-jɛ̀kù	n j ɛ k u
373	eye	a11londo	dì-ísò	d i i s o
374	face	a11londo	boso	b o s o
375	fall	a11londo	kunda	k u n d a
376	fat, oil	a11londo	dì-ɔ́mí	d i ɔ m i
377	feather	a11londo	esa	e s a
378	fingernail	a11londo	è-sàsà	e s a s a
379	fire	a11londo	ŋw-ɛa ~ muea	ŋ w ɛ a
380	fire-wood	a11londo	iwori	i w o r i
381	fish	a11londo	ɲamamaliba	ɲ a m a m a l i b a
382	five	a11londo	beta	b e t a
383	fly	a11londo	kolwa	k o l w a
384	four	a11londo	beni	b e n i
385	give	a11londo	iɲɛ	i ɲ ɛ
386	goat	a11londo	m-bódì	m b o d i
387	ground, soil	a11londo	moɲɛrɛ	m o ɲ ɛ r ɛ
388	hair	a11londo	n-yùŋgà	n j u ŋ g a
389	head	a11londo	mò-dófò	m o d o f o
390	hear	a11londo	oka	o k a
391	heart	a11londo	mò-démà	m o d e m a
392	horn	a11londo	mò-sébá	m o s e b a
393	house	a11londo	n-dábò	n d a b o
394	hunger	a11londo	n-ja	n j a
395	intestine	a11londo	è-wùŋgé	e w u ŋ g e
396	iron	a11londo	ebo	e b o
397	kill	a11londo	boloa	b o l o a
398	knee	a11londo	dì-bɔ́ŋgɔ́	d i b ɔ ŋ g ɔ
399	knife	a11londo	dì-ɛ́ndí	d i ɛ n d i
400	know	a11londo	iwoa	i w o a
401	leaf	a11londo	è-ánì	e a n i
402	leg	a11londo	mò-fáŋgá	m o f a ŋ g a
403	liver	a11londo	dì-bà	d i b a
404	louse	a11londo	ɲa	ɲ a
405	man	a11londo	moina	m o i n a
406	moon	a11londo	ŋ-gɔndɛ	ŋ g ɔ n d ɛ
407	mouth	a11londo	ò-àná	o a n a
408	name	a11londo	dì-ínà	d i i n a
409	navel	a11londo	dì-tɛ́ŋgù	d i t ɛ ŋ g u
410	neck	a11londo	dì-bɔ̀dì	d i b ɔ d i
411	night	a11londo	bù-dite	b u d i t e
412	nose	a11londo	mò-fìkí	m o f i k i
413	one	a11londo	eyɔkɔ	e j ɔ k ɔ
414	person	a11londo	mò-tò	m o t o
415	rain	a11londo	m-búà	m b u a
416	road	a11londo	n-jìá	n j i a
417	root	a11londo	muri	m u r i
418	salt	a11londo	i-kwa	i k w a
419	sand	a11londo	ɲaŋga	ɲ a ŋ g a
420	see	a11londo	dɛ̀-ɛ́nɛ̀	d ɛ ɛ n ɛ
421	send	a11londo	loma	l o m a
422	shame	a11londo	isɔsɔ	i s ɔ s ɔ
423	sing	a11londo	kɔnɔ	k ɔ n ɔ
424	skin	a11londo	ɲolo	ɲ o l o
425	sky	a11londo	ŋw-adoba	ŋ w a d o b a
426	sleep	a11londo	iyɔ	i j ɔ
427	smoke	a11londo	motutu	m o t u t u
428	snake	a11londo	n-yɔ́ɔ̀	n j ɔ ɔ
429	spear	a11londo	dì-kɔ̀ŋgɔ́	d i k ɔ ŋ g ɔ
430	steal	a11londo	ube	u b e
431	stone	a11londo	wà-ádè	w a a d e
432	sun	a11londo	loba	l o b a
433	tail	a11londo	mò-kòndó	m o k o n d o
434	ten	a11londo	dondaro	d o n d a r o
435	three	a11londo	beyaro	b e j a r o
436	tongue	a11londo	ì-yémè	i j e m e
437	tooth	a11londo	dì-sòŋgá	d i s o ŋ g a
438	tree	a11londo	bò-dé	b o d e
439	two	a11londo	beba	b e b a
440	urine	a11londo	m-ínyádí	m i n j a d i
441	village	a11londo	mò-kí	m o k i
442	vomit	a11londo	yoa	j o a
443	walk	a11londo	dì-kɛ̀ndɛ̀	d i k ɛ n d ɛ
444	war	a11londo	b-ìdá	b i d a
445	water	a11londo	mà-líbá	m a l i b a
446	wind	a11londo	ŋguŋga	ŋ g u ŋ g a
447	woman	a11londo	ŋw-ádánà	ŋ w a d a n a
448	animal	a121mbonge	ɲama	ɲ a m a
449	arm	a121mbonge	mokɔ	m o k ɔ
450	ashes	a121mbonge	mbu	m b u
451	bark	a121mbonge	ekuku	e k u k u
452	bed	a121mbonge	linɔŋgɔ	l i n ɔ ŋ g ɔ
453	belly	a121mbonge	mea	m e a
454	big	a121mbonge	kɔlɔ	k ɔ l ɔ
455	bird	a121mbonge	inɔ	i n ɔ
456	bite	a121mbonge	da	d a
457	blood	a121mbonge	makia	m a k i a
458	bone	a121mbonge	ese	e s e
459	breast	a121mbonge	dibɛ	d i b ɛ
460	burn	a121mbonge	yaŋga	j a ŋ g a
461	child	a121mbonge	ŋana	ŋ a n a
462	cloud	a121mbonge	ekutukutu	e k u t u k u t u
463	come	a121mbonge	fɔ	f ɔ
464	count	a121mbonge	laŋga	l a ŋ g a
465	dew	a121mbonge	bekɛli	b e k ɛ l i
466	die	a121mbonge	wa	w a
467	dog	a121mbonge	mgba	m g b a
468	drink	a121mbonge	ɲua	ɲ u a
469	ear	a121mbonge	dito	d i t o
470	eat	a121mbonge	da	d a
471	egg	a121mbonge	like	l i k e
472	elephant	a121mbonge	njɛku	n j ɛ k u
473	eye	a121mbonge	disɔ	d i s ɔ
474	face	a121mbonge	boso	b o s o
475	fall	a121mbonge	kunda	k u n d a
476	fat, oil	a121mbonge	diɔmi	d i ɔ m i
477	feather	a121mbonge	esa	e s a
478	fingernail	a121mbonge	esɔsɔ	e s ɔ s ɔ
479	fire	a121mbonge	ŋea	ŋ e a
480	fire-wood	a121mbonge	iyoli	i j o l i
481	fish	a121mbonge	ndɔndi	n d ɔ n d i
482	five	a121mbonge	beta	b e t a
483	fly	a121mbonge	uŋga	u ŋ g a
484	four	a121mbonge	bene	b e n e
485	give	a121mbonge	ɲɛŋgɛ	ɲ ɛ ŋ g ɛ
486	goat	a121mbonge	mboli	m b o l i
487	ground, soil	a121mbonge	muɲɛlɛ	m u ɲ ɛ l ɛ
488	hair	a121mbonge	ɲuŋga	ɲ u ŋ g a
489	head	a121mbonge	molofo	m o l o f o
490	hear	a121mbonge	boka	b o k a
491	heart	a121mbonge	molema	m o l e m a
492	horn	a121mbonge	museba	m u s e b a
493	house	a121mbonge	ndabo	n d a b o
494	hunger	a121mbonge	nja	n j a
495	intestine	a121mbonge	mea	m e a
496	iron	a121mbonge	ekɔkɔ	e k ɔ k ɔ
497	kill	a121mbonge	boloa	b o l o a
498	knee	a121mbonge	libɔŋgɔ	l i b ɔ ŋ g ɔ
499	knife	a121mbonge	dilɛndi	d i l ɛ n d i
500	know	a121mbonge	iyoa	i j o a
501	leaf	a121mbonge	eya	e j a
502	leg	a121mbonge	ŋende	ŋ e n d e
503	liver	a121mbonge	libɛ	l i b ɛ
504	louse	a121mbonge	ɲia	ɲ i a
505	man	a121mbonge	momana	m o m a n a
506	moon	a121mbonge	ŋgɔndɛ	ŋ g ɔ n d ɛ
507	mouth	a121mbonge	wana	w a n a
508	name	a121mbonge	dina	d i n a
509	navel	a121mbonge	ditɛŋgu	d i t ɛ ŋ g u
510	neck	a121mbonge	dibɛlu	d i b ɛ l u
511	night	a121mbonge	bulute	b u l u t e
512	nose	a121mbonge	do	d o
513	one	a121mbonge	eyɔkɔ	e j ɔ k ɔ
514	person	a121mbonge	moto	m o t o
515	rain	a121mbonge	mbua	m b u a
516	road	a121mbonge	njea	n j e a
517	root	a121mbonge	ŋili	ŋ i l i
518	salt	a121mbonge	ikpa	i k p a
519	sand	a121mbonge	ɲaŋgɛ	ɲ a ŋ g ɛ
520	see	a121mbonge	ɛnɛ	ɛ n ɛ
521	send	a121mbonge	loma	l o m a
522	shame	a121mbonge	isɔ	i s ɔ
523	sing	a121mbonge	kɔnɔ	k ɔ n ɔ
524	skin	a121mbonge	ekobo	e k o b o
525	sky	a121mbonge	loba	l o b a
526	sleep	a121mbonge	iyɔ	i j ɔ
527	smoke	a121mbonge	motutu	m o t u t u
528	snake	a121mbonge	ɲɔ	ɲ ɔ
529	spear	a121mbonge	dikɔŋgɔ	d i k ɔ ŋ g ɔ
